id|name|legend|faction_id|description|Unnamed: 5
8424|Cabal of Sorcerers|The Thousand Sons are wreathed in the energies of the Warp. It is the gift of their sorcerous leaders to channel this power through battlefield ritual, to divine forbidden knowledge, to weave illusory magicks or to ravage their foes with empyric fire and mutation.|TS|"If your Army Faction is Thousand Sons, at the start of your Shooting phase, one or more models from your army with this ability can attempt Rituals from those listed below. To do so, select one model from your army with this ability that has not yet attempted a Ritual this turn and select one Ritual no model from your army has attempted to manifest this turn, then take a Psychic test for that model by following the sequence below.PSYCHIC TEST SEQUENCERoll 2D6Channel the Warp(Optional)Then, if one or more doubles or triples were rolled during this test, that models unit suffers D3 mortal wounds.If that model is not destroyed, the combined total of all the dice rolled during this test is the Psychic test result. If this equals or exceeds the Warp Charge value of the Ritual being attempted, that model manifests that Ritual and you resolve its effects.DESTINYS RUIN (PSYCHIC)WARP CHARGE5Select one enemy unit within 24"" of and visible to the manifesting model. Until the end of the phase, each time a THOUSAND SONS or SCINTILLATING LEGIONS model from your army makes an attack that targets that unit, re-roll a Hit roll of 1. If the Psychic test result for this Ritual was 10+, you can re-roll the Hit roll instead.TEMPORAL SURGE (PSYCHIC)WARP CHARGE6Select one friendly THOUSAND SONS or SCINTILLATING LEGIONS unit that is not within Engagement Range of one or more enemy units and is within 24"" of and visible to the manifesting model. That unit can make a Normal move of up to D6"". If the Psychic test result for this Ritual was 10+, that unit can make a Normal move of up to 6"" instead. In either case, until the end of the turn, that unit is not eligible to declare a charge.DOOMBOLT (PSYCHIC)WARP CHARGE7Select one enemy unit within 24"" of and visible to the manifesting model (excluding units with the Lone Operative ability that are not part of an Attached unit and are not within 12"" of the manifesting model); that unit suffers D3 mortal wounds. If the Psychic test result for this Ritual was 11+, that unit suffers D3+3 mortal wounds instead.TWIST OF FATE (PSYCHIC)WARP CHARGE9Select one enemy unit within 24"" of and visible to the manifesting model. Until the end of the phase, each time a THOUSAND SONS or SCINTILLATING LEGIONS model from your army makes an attack that targets that unit, improve the Armour Penetration characteristic of that attack by 1. If the Psychic test result for this Ritual was 12+, improve the Armour Penetration characteristic of that attack by 2 instead."|
8424|Cabal of Sorcerers|The Thousand Sons are wreathed in the energies of the Warp. It is the gift of their sorcerous leaders to channel this power through battlefield ritual, to divine forbidden knowledge, to weave illusory magicks or to ravage their foes with empyric fire and mutation.|CSM|"If your Army Faction is Thousand Sons, at the start of your Shooting phase, one or more models from your army with this ability can attempt Rituals from those listed below. To do so, select one model from your army with this ability that has not yet attempted a Ritual this turn and select one Ritual no model from your army has attempted to manifest this turn, then take a Psychic test for that model by following the sequence below.PSYCHIC TEST SEQUENCERoll 2D6Channel the Warp(Optional)Then, if one or more doubles or triples were rolled during this test, that models unit suffers D3 mortal wounds.If that model is not destroyed, the combined total of all the dice rolled during this test is the Psychic test result. If this equals or exceeds the Warp Charge value of the Ritual being attempted, that model manifests that Ritual and you resolve its effects.DESTINYS RUIN (PSYCHIC)WARP CHARGE5Select one enemy unit within 24"" of and visible to the manifesting model. Until the end of the phase, each time a THOUSAND SONS or SCINTILLATING LEGIONS model from your army makes an attack that targets that unit, re-roll a Hit roll of 1. If the Psychic test result for this Ritual was 10+, you can re-roll the Hit roll instead.TEMPORAL SURGE (PSYCHIC)WARP CHARGE6Select one friendly THOUSAND SONS or SCINTILLATING LEGIONS unit that is not within Engagement Range of one or more enemy units and is within 24"" of and visible to the manifesting model. That unit can make a Normal move of up to D6"". If the Psychic test result for this Ritual was 10+, that unit can make a Normal move of up to 6"" instead. In either case, until the end of the turn, that unit is not eligible to declare a charge.DOOMBOLT (PSYCHIC)WARP CHARGE7Select one enemy unit within 24"" of and visible to the manifesting model (excluding units with the Lone Operative ability that are not part of an Attached unit and are not within 12"" of the manifesting model); that unit suffers D3 mortal wounds. If the Psychic test result for this Ritual was 11+, that unit suffers D3+3 mortal wounds instead.TWIST OF FATE (PSYCHIC)WARP CHARGE9Select one enemy unit within 24"" of and visible to the manifesting model. Until the end of the phase, each time a THOUSAND SONS or SCINTILLATING LEGIONS model from your army makes an attack that targets that unit, improve the Armour Penetration characteristic of that attack by 1. If the Psychic test result for this Ritual was 12+, improve the Armour Penetration characteristic of that attack by 2 instead."|
8428|Blessings of Khorne|Khorne is the Chaos god of warfare and slaughter to whom all World Eaters are devoted. He blesses those who spill blood and take skulls in his infernal name.|WE|"If your Army Faction is WORLD EATERS, at the start of the battle round, you can make a Blessings of Khorne roll. To do so, roll eight D6. You can then use those dice to activate up to two Blessings of Khorne (see below). Each Blessing of Khorne specifies the dice results it requires (where a number is specified, a double or triple of that value or higher is required). You can only activate each Blessing of Khorne once per battle round. Any unused dice from the Blessings of Khorne roll are then discarded. Once activated, each Blessing of Khorne applies to all units from your army with this ability until the end of the battle round.Example: Ash makes a Blessings of Khorne roll, getting the following: 1, 2, 2, 2, 3, 4, 6, 6. First they use the two 6s to activate Warp Blades (which requires a double 5+), leaving the following dice: 1,2, 2, 2, 3, 4. They then use the two 2s to activate Unbridled Bloodlust. Now that two Blessings of Khorne have been activated, no more can be activated and the remaining dice are discarded.UNBRIDLED BLOODLUSTYou can re-roll Charge rolls made for this unit.RAGE-FUELLED INVIGORATIONEach time a model in this unit makes a Pile-in or Consolidation move, it can move up to 6"" instead of up to 3"".TOTAL CARNAGEEach time a model in this unit is destroyed by a melee attack, if it has not fought this phase, roll one D6: on a 4+, do not remove it from play. The destroyed model can fight after the attacking unit has finished making its attacks, and is then removed from play.MARTIAL EXCELLENCEMelee weapons equipped by models in this unit have the [SUSTAINED HITS 1] ability.WARP BLADESMelee weapons equipped by models in this unit have the [LETHAL HITS] ability.DECAPITATING STRIKESEach time a model in this unit makes a melee attack that targets an INFANTRY unit, that attack has the [DEVASTATING WOUNDS] ability."|
8428|Blessings of Khorne|Khorne is the Chaos god of warfare and slaughter to whom all World Eaters are devoted. He blesses those who spill blood and take skulls in his infernal name.|CSM|"If your Army Faction is WORLD EATERS, at the start of the battle round, you can make a Blessings of Khorne roll. To do so, roll eight D6. You can then use those dice to activate up to two Blessings of Khorne (see below). Each Blessing of Khorne specifies the dice results it requires (where a number is specified, a double or triple of that value or higher is required). You can only activate each Blessing of Khorne once per battle round. Any unused dice from the Blessings of Khorne roll are then discarded. Once activated, each Blessing of Khorne applies to all units from your army with this ability until the end of the battle round.Example: Ash makes a Blessings of Khorne roll, getting the following: 1, 2, 2, 2, 3, 4, 6, 6. First they use the two 6s to activate Warp Blades (which requires a double 5+), leaving the following dice: 1,2, 2, 2, 3, 4. They then use the two 2s to activate Unbridled Bloodlust. Now that two Blessings of Khorne have been activated, no more can be activated and the remaining dice are discarded.UNBRIDLED BLOODLUSTYou can re-roll Charge rolls made for this unit.RAGE-FUELLED INVIGORATIONEach time a model in this unit makes a Pile-in or Consolidation move, it can move up to 6"" instead of up to 3"".TOTAL CARNAGEEach time a model in this unit is destroyed by a melee attack, if it has not fought this phase, roll one D6: on a 4+, do not remove it from play. The destroyed model can fight after the attacking unit has finished making its attacks, and is then removed from play.MARTIAL EXCELLENCEMelee weapons equipped by models in this unit have the [SUSTAINED HITS 1] ability.WARP BLADESMelee weapons equipped by models in this unit have the [LETHAL HITS] ability.DECAPITATING STRIKESEach time a model in this unit makes a melee attack that targets an INFANTRY unit, that attack has the [DEVASTATING WOUNDS] ability."|
8433|The Shadow of Chaos|When daemons pour into realspace, maelstroms of warp energy spill through in their wake. Manifest emotion and unbridled, nightmarish forces twist all that they touch, reshaping the landscape into bizarre forms while tormenting mortal beings to madness. To be embroiled in such tempests is to endure conditions utterly anathema to the fundamental laws of reality, provoking primal terror in even the most emotionless warriors.|CD|"If your Army Faction is LEGIONES DAEMONICA, certain areas of the battlefield are considered to be within your armys Shadow of Chaos, as follows:Your deployment zone is always within your armys Shadow of Chaos.At the start of any phase, if you control at least half of the objective markers within No Mans Land, until the end of that phase, No Mans Land is within your armys Shadow of Chaos.At the start of any phase, if you control at least half of the objective markers within your opponents deployment zone, until the end of that phase, your opponents deployment zone is within your armys Shadow of Chaos.DAEMONIC MANIFESTATIONWhile a LEGIONES DAEMONICA unit from your army is within your armys Shadow of Chaos, each time that unit takes a Battle-shock test, add 1 to that test and, if that test is passed, one model in that unit regains up to D3 lost wounds (if that unit is a BATTLELINE unit and that test is passed, up to D3 destroyed models can be returned to that unit instead).DAEMONIC TERRORWhile an enemy unit is within your armys Shadow of Chaos and/or it is within 6"" of one or more BLOODTHIRSTER, GREAT UNCLEAN ONE, KAIROS FATEWEAVER, KEEPER OF SECRETS, LORD OF CHANGE, ROTIGUS, SHALAXI HELBANE or SKARBRAND units from your army, each time that unit takes a Battle-shock test, subtract 1 from that test and, if that test is failed, that enemy unit suffers D3 mortal wounds."|
8434|Daemonic Pact|When the mortal servants of the Dark Gods march to war, the most favoured may find daemonic entities accompanying them. |CD|If every model from your army has the Chaos Knights or Heretic Astartes keyword, you can include LEGIONES DAEMONICA units in your army, even if they do not have the Faction keyword you selected in the Select Army Faction step. The combined points cost of such units you can include depends on your battle size, as shown below.IncursionUp to 250 ptsStrike ForceUp to 500 ptsOnslaughtUp to 750 ptsNone of these models can be your WARLORD, and they cannot be given Enhancements.In addition, for each of the following keywords, the number of non-BATTLELINE units with that keyword you include in this way cannot be greater than the number of BATTLELINE units with that keyword you include in this way:KhorneTzeentchNurgleSlaanesh|
8439|For the Greater Good|The Hunter Cadres battle for the betterment of the Tau Empire, not for personal gain or egotistic accomplishments. This burning commitment allows for prodigiously effective covering fire. Enemies are pinned in place by deadly bursts of pulse blasts, or the infamous Tau markerlight is used to expose even well-fortified enemy positions, allowing other Tau warriors to fall on the vulnerable enemies with murderous force.|TAU|If your Army Faction is TAU EMPIRE, at the start of your Shooting phase you can select units from your army with this ability to become Observer units.During your Shooting phase, for each Observer unit from your army that has not been selected to shoot this phase and is eligible to shoot (excluding Fortification and Battle-shocked units) select one enemy unit that is visible to be marked as their Spotted unit until the end of the phase. Each enemy unit can only be marked as a Spotted unit once per phase.Units from your army with the For the Greater Good ability (excluding Observer units) are Guided units while targeting one or more Spotted units.Until the end of the phase, each time a model from your army in a Guided unit makes an attack that targets a Spotted unit, improve the Ballistic Skill characteristic of that attack by 1 and, if the Spotted unit was marked by an Observer unit that has the Markerlight keyword, that attack has the [IGNORES COVER] ability.|
8445|Strands of Fate|The Aeldari live on the brink of extinction. As such, their Farseers have become adept at reading future events, seeing the many strands of fate ahead of their people and the consequences of following each one. Taken at the right time, a simple action can avoid calamitous outcomes, aiding the Aeldari in their continued struggle for survival.|AE|If your Army Faction is AELDARI, at the start of the battle, make a Strands of Fate roll by rolling six D6.If you wish, you can then re-roll all of these dice, but if you do, roll one less D6. You can continue re-rolling all of the dice in this manner, rolling one less D6 each time you do, until you are satisfied with the results rolled (or until you only have a single D6 remaining).When you are satisfied with the results rolled, those remaining dice become your Fate dice for the battle. These results cannot be changed or re-rolled further, unless a rule specifically states otherwise. Keep your Fate dice to one side  this is your Fate dice pool.Once per phase, before making a dice roll for a model or unit from your army with the Strands of Fate ability, if you have one or more dice in your Fate dice pool, you can use one of those Fate dice. To do so, select one of those Fate dice to substitute that dice roll. The dice that is being substituted is not rolled; instead, the value of the selected Fate dice is used as if it had been rolled (this counts as an unmodified dice roll of that value for all rules purposes). Each Fate dice can only be used in this way once. After using a Fate dice, remove it from your Fate dice pool and roll all remaining dice that are part of that dice roll (if any). You can use Fate dice for any of the following types of dice roll:Advance rollBattle-shock testCharge rollDamage rollHit rollSaving throwWound roll|
8452|Assigned Agents|Throughout the Imperium there exist numerous martial organisations and shadowy institutions. Bodies of armed warriors or solitary agents from these groups possess specialist skills, unusual equipment and vested interests that lead them to be attached to larger Imperial armies. Some are requisitioned by the armys commander for their particular abilities, others are assigned by their hidden masters to achieve singular agendas. The most powerful have the authority and reputation to enforce their presence on the field of battle.|SM|If your Army Faction is AGENTS OF THE IMPERIUM, then in the Select Detachment Rules step, you can select one of the available Detachments from this book as normal.If your Army Faction is not AGENTS OF THE IMPERIUM, but every model in your army has the IMPERIUM keyword, you can include AGENTS OF THE IMPERIUM units in your army even if they do not have the Faction keyword you selected in the Select Army Faction step. In this case, the maximum number of AGENTS OF THE IMPERIUM units you can include in your army depends on the battle size, as shown below.BATTLE SIZERETINUE UNITSCHARACTER UNITSREQUISITIONED UNITSIncursion111Strike Force221Onslaught332Note that you can include AGENTS OF THE IMPERIUM DEDICATED TRANSPORT units in such an army as normal, but each unit must start the battle with one or more units embarked within it, or it cannot be deployed for that battle and will count as having been destroyed during the first battle round.|
8452|Assigned Agents|Throughout the Imperium there exist numerous martial organisations and shadowy institutions. Bodies of armed warriors or solitary agents from these groups possess specialist skills, unusual equipment and vested interests that lead them to be attached to larger Imperial armies. Some are requisitioned by the armys commander for their particular abilities, others are assigned by their hidden masters to achieve singular agendas. The most powerful have the authority and reputation to enforce their presence on the field of battle.|AoI|If your Army Faction is AGENTS OF THE IMPERIUM, then in the Select Detachment Rules step, you can select one of the available Detachments from this book as normal.If your Army Faction is not AGENTS OF THE IMPERIUM, but every model in your army has the IMPERIUM keyword, you can include AGENTS OF THE IMPERIUM units in your army even if they do not have the Faction keyword you selected in the Select Army Faction step. In this case, the maximum number of AGENTS OF THE IMPERIUM units you can include in your army depends on the battle size, as shown below.BATTLE SIZERETINUE UNITSCHARACTER UNITSREQUISITIONED UNITSIncursion111Strike Force221Onslaught332Note that you can include AGENTS OF THE IMPERIUM DEDICATED TRANSPORT units in such an army as normal, but each unit must start the battle with one or more units embarked within it, or it cannot be deployed for that battle and will count as having been destroyed during the first battle round.|
8458|Code Chivalric|Imperial Knights fight by a stringent set of codes. In addition to defeating the foe, honour must always be upheld.|QI|"If your Army Faction is IMPERIAL KNIGHTS, at the end of the Read Mission Objectives step, you must determine your armys Oath for the coming battle. An Oath consists of two parts - one Deed and one Quality. There are three options for each part, shown below.To determine your armys Deed, you can either select one Deed or you can randomly select one Deed by rolling a D6 and consulting the relevant table below. The selected Deed will describe what needs to be achieved in order to complete that Deed.To determine your armys Quality, you can either select one Quality or you can randomly select one Quality by rolling a D6 and consulting the relevant table below. Until the end of the battle, the ability described in the Quality selected applies to all models in your army with this ability.The first time your selected Deed is completed your Oath is fulfilled and, until the end of the battle, your army becomes Honoured and you gain 2CP, or 3CP if you randomly selected your Deed and/or Quality (CP gained in this way are an exemption to the Core Rules that limit the maximum number of CP you can gain per battle round to 1).&nbsp;DeedD6We vow to lay low the tyrant...At the start of the battle, select one CHARACTER model in your opponents army. This Deed is completed at the end of a turn if that CHARACTER is destroyed.&nbsp;&nbsp;We swear to reclaim the realm...This deed is completed at the end of your opponents turn if you control more objective markers than your opponent.&nbsp;&nbsp;We pledge to reap a great tally...This deed is completed at the end of the battle round if the number of enemy units destroyed this battle round is greater than the battle round number even if those units are subsequently returned to the battlefield (for example, two destroyed enemy units in the first battle round).&nbsp;&nbsp;&nbsp;QualityD6...with our martial valour risen over all.Each time this model is selected to shoot or fight, you can re-roll one Hit roll and you can re-roll one Wound roll.&nbsp;&nbsp;...and we are eager for the challenge.Add 2"" to this models Move characteristic and add 1 to Advance and Charge rolls made for this model.&nbsp;&nbsp;...yet shall our legacy be unsullied.Improve this models Objective Control characteristic by 2 and its Leadership characteristic by 1.&nbsp;"|
8459|Bondsman|Those honoured to serve a great hero do so unto death.|QI|"Some Imperial Knights models have a Bondsman ability, tagged with the word Bondsman. In your Command phase, one or more models from your army with a Bondsman ability can use that ability. For each one that does, select one friendly Armiger model within 12"" of that model (you cannot select an ARMIGER model that is already being affected by a Bondsman ability). Until the start of your next Command phase, that ARMIGER model is affected by that Bondsman ability."|
8460|Super-heavy Walker|Imperial Knights tower over the battlefield, striding over lesser warriors to eagerly engage the foe.|QI|"Each time a model with this ability makes a Normal, Advance or Fall Back move, it can move through models (excluding TITANIC models) and sections of terrain features that are 4"" or less in height. When doing so:It can move within Engagement Range of enemy models, but cannot end that move within Engagement Range of them.It can also move through sections of terrain features that are more than 4"" in height, but if it does, after it has moved, roll one D6: on a 1, that model is Battle-shocked."|
8461|Freeblades|Freeblades often wander the galaxy, aiding the armies of the Imperium against the xenos and heretics who threaten the Emperors realm.|QI|If every model in your army has the IMPERIUM keyword, you can include either one Titanic Imperial Knights model or up to three Armiger models in your army, even if they do not have the Faction keyword you selected in the Select Army Faction step. None of these models can be your WARLORD, and they cannot be given Enhancements.|
8466|Acts of Faith|It is said the Emperors benediction touches the Adepta Sororitas, manifesting as a nimbus of holy light in which his power is revealed in miraculous deeds of fortitude and divine strength.|AS|If your Army Faction is ADEPTA SORORITAS, each unit from your army with this ability can perform one Act of Faith per phase. This is done using Miracle dice.GAINING MIRACLE DICEIf your Army Faction is ADEPTA SORORITAS, you gain 1 Miracle dice:At the start of each battle round.Each time an ADEPTA SORORITAS unit from your army is destroyed.Each time you gain a Miracle dice, roll one D6. The number you roll is the value of that Miracle dice. This value cannot be changed or re-rolled, unless a rule specifically states otherwise. Keep your Miracle dice to one side - this is your Miracle dice pool.PERFORMING AN ACT OF FAITHBefore making a dice roll for a model or unit from your army with the Acts of Faith ability, if you have one or more dice in your Miracle dice pool, that unit can perform an Act of Faith. If it does, select one of the dice from your Miracle dice pool to substitute that dice roll (if a roll involves more than one dice, e.g. a Charge roll or Battle-shock test, only a single dice can be substituted). The dice that is being substituted is not rolled; instead, the value of the selected Miracle dice is used as if it had been rolled ( this counts as an unmodified dice roll of that value for all rules purposes). Each Miracle dice can only be selected for substitution once. Once all Miracle dice substitutions have been made, remove the chosen Miracle dice from your Miracle dice pool, and roll all remaining, unsubstituted dice that are a part of the dice roll. You can use Miracle dice when a unit performs an Act of Faith for any of the following types of dice roll:Advance rollBattle-shock testCharge rollDamage rollHit rollSaving throwWound rollExample: Instead of rolling 2D6 to take a units Battle-shock test, you could use one dice from your Miracle dice pool. If the value of that dice was 4, the units Battle-shock test would be determined by rolling one D6 and adding 4 to it (i.e. it would be D6+4).|
8501|Cult Ambush|Genestealer Cults keep their fighting strength carefully hidden from their oppressors until the glorious Day of Ascension arrives. When they finally emerge to fight, it is after long years of meticulous planning, and with an intimate knowledge of the battlefield that grants them a tactical advantage. Even as battle rages, reinforcements slip from the shadows or spill up from the dark places below, called to war by the Broodmind.|GC|"If your Army Faction is GENESTEALER CULTS, you start the battle with a number of Resurgence points, depending on the battle size, as shown below.Incursion: 6 Resurgence pointsStrike Force: 10 Resurgence pointsOnslaught: 14 Resurgence pointsEach time a unit from your army is destroyed, if every model in that unit has this ability, you can spend the relevant number of Resurgence points shown below based on that units Starting Strength.Aberrants5 models4 Resurgence points10 models8 Resurgence pointsAcolyte Hybrids with Autopistols, Acolyte Hybrids with Hand Flamers, Hybrid Metamorphs5 models2 Resurgence points10 models4 Resurgence pointsAtalan Jackals5 models2 Resurgence points10 models6 Resurgence pointsNeophyte Hybrids10 models3 Resurgence points20 models6 Resurgence pointsPurestrain Genestealers5 models2 Resurgence points10 models6 Resurgence pointsIf you do:Add a new unit to your army identical to your destroyed unit, in Cult Ambush, at its Starting Strength, with all of its wounds remaining and any [ONE SHOT] weapons those models are equipped with considered as not having been shot.Place one Cult Ambush marker (see below) anywhere on the battlefield that is more than 9"" horizontally away from all enemy units (if this is not possible, no marker is placed).Units in Cult AmbushCult Ambush is a type of Strategic Reserves. Units in Cult Ambush cannot be targeted with the Rapid Ingress Stratagem, but can be set up on the battlefield using a Cult Ambush marker as described below, or by following the rules for Strategic Reserves in a subsequent turn.Cult Ambush MarkersUse a circular 32mm diameter marker for Cult Ambush markers. If an enemy model (excluding AIRCRAFT) ends any kind of move within 9"" of a Cult Ambush marker you placed, that Cult Ambush marker is removed from the battlefield. At the end of the Reinforcements step of your opponents next Movement phase, for each of your Cult Ambush markers still on the battlefield, you can select one unit from your army that is in Cult Ambush and set up that unit using that Cult Ambush marker. To do so, set that unit up on the battlefield more than 9"" horizontally away from all enemy units, with at least one model in that unit touching that Cult Ambush marker and all other models placed wholly within 3"" of that Cult Ambush marker (that Cult Ambush marker is then removed from the battlefield)."|
8507|Power from Pain|The Drukhari feed on suffering and terror. Every arc of blood that jets from a blade-slit artery, every scream of agonised horror, every vertiginous moment of shock or despair experienced by their prey surges through the Drukhari like an intoxicant. As the battle rages, the denizens of the Dark City drink deep of the floodtide of pain. Sinews singing with stolen strength, motions blurred to preternatural swiftness, they howl in exhilarated bloodlust and fight all the harder to extract yet sweeter agonies from those who dare resist them.|DRU|Pain AbilitiesAll Drukhari units have a Pain ability, tagged with the word Pain. Pain abilities only apply to a unit while it is Empowered. If your Army Faction is DRUKHARI, you can Empower units from your army with Pain abilities by spending Pain tokens (see below).Designers Note: You can also spend Pain tokens to activate additional effects in certain other rules such as Enhancements and Stratagems.Gaining Pain TokensIf your Army Faction is DRUKHARI, you gain Pain tokens as follows:1 Pain token at the start of your Command phase.1 Pain token each time an enemy unit is destroyed.1 Pain token each time an enemy unit fails a Battle-shock test.Each time you gain a Pain token, keep it to one side - this is your Pain token pool. Each time you spend a Pain token, reduce your Pain token pool by the same amount.Empowered Through PainEach Pain ability will state when you can spend Pain tokens to Empower that unit. When you do, until the end of the phase, that unit is Empowered and all Pain abilities it has take effect. While an Attached unit is Empowered, the Pain abilities of all Leader and Bodyguard units in that unit take effect - you do not need to spend additional Pain tokens to activate each of those Pain abilities.Example: At the start of your Charge phase, you spend 1 Pain token to Empower a unit of Wyches. The unit becomes Empowered, and so its Acrobatic Gladiators ability takes effect until the end of the phase. A Succubus is leading the unit, and so its Lithe Agility ability also takes effect until the end of the phase (no additional Pain token is required to activate that ability as well).|
8512|Harbingers of Dread|Where Chaos Knights tread, the skies grow unnaturally dark and the power of the warp permeates the battlefield.|QT|"If your Army Faction is CHAOS KNIGHTS, each unit from your army with this ability gains Dread abilities, depending which are active for your army (see below). The Deathly Terror ability is active for your army from the start of the battle. In addition, at the start of the first, third and fifth battle rounds, you can either select one of the other Dread abilities or randomly select two Dread abilities to apply by rolling two D6 and applying the results rolled, from those numbered 1-6.Any Dread abilities that have been selected are active until the end of the battle. You cannot select the same Dread ability more than once, and any duplicated Dread abilities (as a result of randomly selecting them) have no additional effect.DEATHLY TERROR (AURA)N/AWhile an enemy unit is within 9"" of this model, worsen the Leadership characteristic of models in that unit by 1.DESPAIR (AURA)While an enemy unit is within 9"" of this model, worsen the Leadership characteristic of models in that unit by 1. This is cumulative with the Deathly Terror ability (see above).DOOMEach time this model makes an attack, if the target of that attack is Battle-shocked, add 1 to the Wound roll.DARKNESSEach time an attack is made against this model, if the attacking unit is Battle-shocked or more than 18"" away, subtract 1 from the Hit roll.DISMAY (AURA)In the Battle-shock step of your opponents Command phase, for each enemy unit that is below its Starting Strength and within 9"" of this model, that enemy unit must take a Battle-shock test.DELIRIUM (AURA)While an enemy unit that is Below Half-strength is within 9"" of this model, each time that unit fails a Battle-shock test, it suffers D3 mortal wounds.DOMINIONAdd 3"" to the range of this models Aura abilities."|
8513|Super-heavy Walker||QT|"Each time a model with this ability makes a Normal, Advance or Fall Back move, it can move through models (excluding Titanic models) and sections of terrain features that are 4"" or less in height. When doing so:It can move within Engagement Range of enemy models, but cannot end that move within Engagement Range of them.It can also move through sections of terrain features that are more than 4"" in height, but if it does, after it has moved, roll one D6: on a 1, that model is Battle-shocked."|
8514|Dreadblades|Dreadblades stalk the galaxy, carving a path of destruction alongside other forces of Chaos.|QT|If every model in your army has the CHAOS keyword, you can include either 1 Titanic Chaos Knights model or up to 3 War Dog models in your army, even if they do not have the Faction keyword you selected in the Select Army Faction step. None of these models can be your WARLORD, and they cannot be given Enhancements.|
8519|Kill Team||SM|Each time an attack targets this unit, if it contains models with different Toughness characteristics, until the attacking unit has finished making its attacks, use the Toughness characteristic of the majority of the models in that unit when determining what roll is required for that attack to successfully wound. If two or more Toughness characteristics are tied for majority, use the highest value.For the purposes of determining which models in this unit can embark within a Transport, Kill Team Terminator models, Kill Team Outrider models, Kill Team Biker models and models equipped with a jump pack each take up the space of 2 models, but can otherwise embark within any TRANSPORT their unit can embark within, even though similar models in other units have the Terminator, Mounted or Jump Pack keywords.For the purposes of interacting with terrain features, all models in units with this ability are considered INFANTRY models, even though similar models in other units may have the MOUNTED or JUMP PACK keywords.Designers Note: While the abstractions in the above rule cause some models to behave differently to similar models in other units, they are designed to minimise complicated movement, TRANSPORT and Benefit of Cover rules.|
8519|Kill Team||AoI|Each time an attack targets this unit, if it contains models with different Toughness characteristics, until the attacking unit has finished making its attacks, use the Toughness characteristic of the majority of the models in that unit when determining what roll is required for that attack to successfully wound. If two or more Toughness characteristics are tied for majority, use the highest value.For the purposes of determining which models in this unit can embark within a Transport, Kill Team Terminator models, Kill Team Outrider models, Kill Team Biker models and models equipped with a jump pack each take up the space of 2 models, but can otherwise embark within any TRANSPORT their unit can embark within, even though similar models in other units have the Terminator, Mounted or Jump Pack keywords.For the purposes of interacting with terrain features, all models in units with this ability are considered INFANTRY models, even though similar models in other units may have the MOUNTED or JUMP PACK keywords.Designers Note: While the abstractions in the above rule cause some models to behave differently to similar models in other units, they are designed to minimise complicated movement, TRANSPORT and Benefit of Cover rules.|
8521|Mission Tactics|Thousands of years of collated strategic data and hard-won combat experience have provided the Deathwatch with the ultimate battlefield tactics to combat almost any foe.|SM|At the start of your Command phase, you can select one of the Mission Tactics listed below. Until the start of your next Command phase, that Mission Tactic is active and its effects apply to all units from your army with this ability. Each Mission Tactic can only be selected once per battle.FUROR TACTICSWhen the enemy horde grows close, the Deathwatch will be tasked with the decimation of their core. Aiming not for clinical kills but for maximum destruction over a wide area, they tear the heart from the enemy army.While this Mission Tactic is active, weapons equipped by ADEPTUS ASTARTES units from your army have the [SUSTAINED HITS 1] ability.MALLEUS TACTICSWhen the giants of war lumber forth, the Deathwatch will adopt Malleus tactics. Even the largest behemoth has a weak point, and the archives of the Deathwatch number them all.While this Mission Tactic is active, weapons equipped by ADEPTUS ASTARTES units from your army have the [LETHAL HITS] ability.PURGATUS TACTICSBy adopting Purgatus tactics, the Deathwatch focus their deadly ire upon the commanders of the enemy host, assassinating them one after another with pitiless head shots and killing thrusts of the blade.While this Mission Tactic is active, each time an ADEPTUS ASTARTES unit from your army makes an attack, if a Critical Hit is scored, that attack has the [PRECISION] ability.|
8526|Templar Vows|On the eve of battle, the Black Templars gather to be led in prayer and contemplation by their champions. United in their hatred of the foe, they swear a mighty vow to uphold in the battle ahead.|SM|If your Army Faction is ADEPTUS ASTARTES, at the start of the first battle round, select one of the following Vows to be active for ADEPTUS ASTARTES units from your army. While a Vow is active for a unit from your army, that unit has the associated ability shown below.Abhor the Witch, Destroy the WitchEach time this unit declares a charge, if one or more targets of that charge have the PSYKER keyword, you can re-roll the Charge roll. Melee weapons equipped by models in this unit have the [PRECISION] ability while targeting PSYKER units.Accept Any Challenge, No Matter the OddsEach time a model in this unit makes a melee attack, if the Strength characteristic of that attack is less than or equal to the Toughness characteristic of the target, add 1 to the Wound roll.Suffer Not the Unclean to LiveThis unit is eligible to declare a charge in a turn in which it Fell Back, and each time a model in this unit makes a Pile-in or Consolidation move, it does not need to end that move closer to the closest enemy model, provided it ends that move as close as possible to the closest enemy unit.Uphold the Honour of the EmperorIf this unit has the INFANTRY keyword:At the end of your Command phase, if this unit is within range of an objective marker you control, that objective marker remains under your control until your opponents Level of Control over that objective marker is greater than yours at the end of a phase.If the mission you are playing features Actions, this unit is eligible to start to perform an Action in a turn in which it Advanced.|
8533|Towering Example||TL|When mustering your army, if your Army Faction is ADEPTUS TITANICUS, ignore the Select Detachment Rules step. In the Select Warlord step, select one ADEPTUS TITANICUS model from your army to be your WARLORD, even though that model does not have the CHARACTER keyword.|
8534|Titanic Support||TL|If every model in your army has the IMPERIUM keyword, you can include 1 ADEPTUS TITANICUS model in your army, even if it does not have the Faction keyword you selected in the Select Army Faction step.|
