datasheet_id|line|button|description|Unnamed: 4
706|1||This models 2 twin heavy flamers can be replaced with 2 twin heavy bolters.|
706|2||This model can be equipped with one of the following:2 lascannons and 2 twin heavy bolters2 lascannons and 2 twin heavy flamers|
707|1||This models 2 twin heavy flamers can be replaced with 2 twin heavy bolters.|
707|2||This model can be equipped with one of the following:2 lascannons and 2 twin heavy bolters2 lascannons and 2 twin heavy flamers|
708|1||This models 2 twin heavy flamers can be replaced with 2 twin heavy bolters.|
708|2||This model can be equipped with one of the following:2 lascannons and 2 twin heavy bolters2 lascannons and 2 twin heavy flamers|
709|1||This models 2 twin heavy flamers can be replaced with 2 twin heavy bolters.|
709|2||This model can be equipped with one of the following:2 lascannons and 2 twin heavy bolters2 lascannons and 2 twin heavy flamers|
713|1|||
714|1|||
716|1||This models bolt pistol can be replaced with 1 plasma pistol.|
716|2||This models chainsword can be replaced with 1 power weapon.|
719|1||Any number of Tempestus Scions can each have their hot-shot lasgun replaced with one of the following*:1 flamer1 grenade launcher1 hot-shot volley gun1 meltagun1 plasma gun|
719|2||1 Tempestus Scion equipped with a hot-shot lasgun can be equipped with 1 regimental standard (that models hot-shot lasgun cannot be replaced).|
719|3||1 Tempestus Scions hot-shot lasgun can be replaced with 1 hot-shot laspistol and 1 master vox.|
719|4||1 Tempestus Scions hot-shot lasgun can be replaced with one of the following:1 hot-shot laspistol and 1 medi-pack1 hot-shot lasgun, 1 hot-shot laspistol and 1 medi-pack [that model's hot-shot lasgun cannot be replaced]|
719|5||The Tempestor Primes bolt pistol can be replaced with one of the following:1 plasma pistol1 command rod|
719|6|*|* You cannot select the same weapon from this list more than once per unit.|
721|1||This models Taurox battle cannon can be replaced with one of the following:1 Taurox gatling cannon1 Taurox missile launcher|
721|2||This models twin Taurox hot-shot volley gun can be replaced with 1 twin autocannon.|
721|3||This model can be equipped with 1 storm bolter.|
722|1|||
723|1||Any number of models can each have their grenadier gauntlet replaced with 1 Bullgryn maul.|
723|2||Any number of models can each have their slabshield replaced with 1 brute shield.|
724|1||If this unit contains 10 models, one models sniper rifle can be replaced with 1 tankstopper rifle.|
724|2||If this unit contains 10 models, one model can be equipped with demolition gear.|
724|3||If this unit contains 10 models, it can be equipped with one Ratling Battlemutt.|
727|1||This models multi-laser can be replaced with 1 lascannon.|
727|2||This models hellstrike missiles can be replaced with 2 multiple rocket pods.|
727|3||This model can be equipped with 2 heavy bolters.|
728|1||This model can be equipped with 1 hunter-killer missile.|
728|2||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
729|1||This model can be equipped with 1 hunter-killer missile.|
729|2||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
730|1|||
731|1||This model can be equipped with 1 hunter-killer missile.|
733|1||This models heavy bolter can be replaced with 1 heavy flamer.|
733|2||This model can be equipped with 1 hunter-killer missile.|
735|1||This model can be equipped with 1 hunter-killer missile.|
735|2||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
736|1||This models heavy flamer can be replaced with 1 Tauros grenade launcher.|
736|2||This model can be equipped with 1 hunter-killer missile.|
737|1||This models twin multi-laser can be replaced with 1 twin lascannon.|
737|2||This model can be equipped with 1 hunter-killer missile.|
739|1||This models heavy bolter can be replaced with 1 heavy flamer.|
739|2||This model can be equipped with 1 hunter-killer missile.|
739|3||This model can be equipped with one of the following:1 storm bolter1 heavy stubber|
740|1||This model can be equipped with 1 hunter-killer missile.|
740|2||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
741|1|||
743|1|||
744|1||This models heavy bolter can be replaced with 1 heavy flamer.|
744|2||This model can each be equipped with one of the following:1 heavy stubber1 storm bolter|
745|1|||
746|1|||
747|1|||
751|1||This models 2 heavy bolters can be replaced with one of the following:2 autocannons2 lascannons|
751|2||This model can be equipped with 1 hunter-killer missile.|
751|3||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
752|1||2 of this models heavy bolters can be replaced with one of the following:2 autocannons2 lascannons|
752|2||This model can be equipped with 1 hunter-killer missile.|
752|3||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
753|1||This models 2 autocannons can be replaced with one of the following:2 heavy bolters2 lascannons|
753|2||This models heavy bolter can be replaced with one of the following:1 autocannon1 lascannon|
753|3||This model can be equipped with 1 hunter-killer missile.|
753|4||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
754|1||This models 2 heavy stubbers can be replaced with one of the following:2 autocannons2 heavy bolters2 heavy flamers2 lascannons|
754|2||This model can be equipped with 1 hunter-killer missile.|
754|3||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
755|1|||
756|1|||
757|1|||
758|1||Any number of models twin heavy bolters can each be replaced with one of the following:1 defence searchlight1 twin autocannon1 twin heavy stubber1 twin lascannon|
759|1|||
760|1||This model can be equipped with 1 hunter-killer missile.|
760|2||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
762|1||Any number of models can each have their twin heavy bolter replaced with 1 twin lascannon.|
763|1||This models 2 twin heavy bolters can be replaced with 2 twin heavy flamers.|
763|2||This model can be equipped with 1 hunter-killer missile.|
763|3||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
763|4||This model can be equipped with one of the following:2 lascannons and 2 twin heavy bolters2 lascannons and 2 twin heavy flamers|
764|1||This models 7 multi-lasers can be replaced with one of the following:7 heavy bolters7 heavy flamers7 lascannons|
764|2||This model can be equipped with 1 hunter-killer missile.|
764|3||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
766|1||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
767|1||This models 2 heavy bolters can be replaced with one of the following:2 autocannons2 heavy flamers2 lascannons|
767|2||This model can be equipped with 1 hunter-killer missile.|
767|3||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
768|1||This models 2 Gorgon mortars can be replaced with one of the following:4 heavy bolters4 heavy flamers4 heavy stubbers|
768|2||This model can be equipped with 1 hunter-killer missile.|
769|1||This models 2 heavy stubbers can be replaced with one of the following:2 heavy bolters2 heavy flamers|
769|2||This model can be equipped with 1 hunter-killer missile.|
769|3||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
770|1||This model can be equipped with one of the following:2 autocannons2 heavy bolters2 heavy flamers|
770|2||This model can be equipped with 1 hunter-killer missile.|
770|3||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
771|1||This models 2 heavy stubbers can be replaced with one of the following:2 heavy bolters2 heavy flamers|
771|2||This model can be equipped with 1 hunter-killer missile.|
771|3||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
772|1||This models 2 heavy stubbers can be replaced with one of the following:2 heavy bolters2 heavy flamers|
772|2||This model can be equipped with 1 hunter-killer missile.|
772|3||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
773|1||This models heavy bombs can be replaced with 1 inferno bombs.|
774|1||This model can be equipped with 1 hellstrike missile rack.|
775|1|||
776|1||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
777|1||This models autocannon can be replaced with one of the following:1 heavy bolter1 heavy flamer1 lascannon|
777|2||This model can be equipped with 1 hunter-killer missile.|
777|3||This model can be equipped with one of the following:1 heavy stubber1 storm bolter|
778|1||This models heavy bolter can be replaced with one of the following:1 autocannon1 multi-laser|
779|1|||
780|1|||
781|1||This model can be equipped with 1 Lightning hellstrike rack.|
783|1||2 of this models Vendetta twin lascannons can be replaced with 1 Vendetta hellstrike rack.|
783|2||This model can be equipped with 2 heavy bolters.|
784|1||This models 2 multiple rocket pods and Vulture hellstrike rack can be replaced with 2 Vulture gatling cannons.|
785|1||Any number of gate tower sections twin heavy bolters can each be replaced with 1 twin lascannon.|
785|2||Each tower section can be equipped with one of the following:1 twin lascannon1 twin heavy bolter|
786|1||This model can be equipped with one of the following:1 Primaris air defence missiles1 battle cannon1 Primaris Icarus lascannon1 Primaris Icarus quad lascannon1 multi-melta1 Primaris quad-gun1 twin heavy bolter1 twin heavy flamer1 twin lascannon1 Primaris castellan launcher1 Primaris vengeance launcher |
786|2||This model can be equipped with up to 4 heavy bolters.|
839|1||This models macrostubber can be replaced with 1 phosphor serpenta.|
839|2||This models volkite blaster can be replaced with 1 eradication ray.|
841|1||Any number of models can each have their heavy arc rifle replaced with 1 torsion cannon.|
841|2||Any number of models can each have their arc claw replaced with 1 hydraulic claw.|
842|1||Any number of models can each have their heavy grav-cannon replaced with 1 Kataphron plasma culverin.|
842|2||Any number of models can each have their phosphor blaster replaced with 1 cognis flamer.|
845|1||Any number of models can each have their twin Kastelan fist replaced with one of the following:1 Kastelan phosphor blaster and 1 Kastelan fist1 twin Kastelan phosphor blaster and 1 close combat weapon|
845|2||Any number of models can each have their incendine combustor replaced with 1 heavy phosphor blaster.|
847|1||Up to 2 models can each have their Servitors servo-arm replaced with one of the following:1 heavy bolter and 1 Servitors tools1 multi-melta and 1 Servitors tools1 plasma cannon and 1 Servitors tools|
848|1||The Skitarii Ranger Alpha can be equipped with 1 Alpha combat weapon.|
848|2||The Skitarii Ranger Alphas galvanic rifle can be replaced with 1 Mechanicus pistol.|
848|3||1 Skitarii Rangers galvanic rifle can be replaced with 1 arc rifle.|
848|4||1 Skitarii Rangers galvanic rifle can be replaced with 1 plasma caliver.|
848|5||1 Skitarii Rangers galvanic rifle can be replaced with 1 transuranic arquebus.|
848|6||1 Skitarii Ranger equipped with a galvanic rifle can be equipped with one of the following:1 enhanced data-tether*1 omnispex*|
848|7|*|* That models galvanic rifle cannot be replaced.|
849|1||The Skitarii Vanguard Alpha can be equipped with 1 Alpha combat weapon.|
849|2||The Skitarii Vanguard Alphas radium carbine can be replaced with 1 Mechanicus pistol.|
849|3||1 Skitarii Vanguards radium carbine can be replaced with 1 arc rifle.|
849|4||1 Skitarii Vanguards radium carbine can be replaced with 1 plasma caliver.|
849|5||1 Skitarii Vanguards radium carbine can be replaced with 1 transuranic arquebus.|
849|6||1 Skitarii Vanguard equipped with a radium carbine can be equipped with one of the following:1 enhanced data-tether*1 omnispex*|
849|7|*|* That models radium carbine cannot be replaced.|
850|1||Any number of models can each have their stubcarbine and power weapon replaced with 1 flechette blaster and 1 taser goad.|
851|1||Any number of Sicarian Ruststalkers can each have their transonic razor and chordclaw replaced with 1 transonic blades.|
851|2||The Sicarian Ruststalker Princeps transonic razor and chordclaw can be replaced with 1 transonic blades and chordclaw.|
852|1||Any number of models can each have their twin cognis autocannon replaced with 1 twin cognis lascannon.|
854|1||This models eradication beamer can be replaced with one of the following:1 daedalus missile launcher and 1 Icarus array1 neutron laser and 1 cognis heavy stubber1 twin Onager heavy phosphor blaster|
854|2||This model can be equipped with 1 additional cognis heavy stubber.|
854|3||This model can be equipped with 1 broad spectrum data-tether.|
855|1||This models meltagun can be replaced with 1 Questoris heavy stubber.|
855|2||This models reaper chainsword can be replaced with 1 thunderstrike gauntlet.|
855|3||This model can be equipped with one of the following:1 ironstorm missile pod1 stormspear rocket pod1 twin Icarus autocannon|
856|1||This models meltagun can be replaced with 1 Questoris heavy stubber.|
856|2||This models reaper chainsword can be replaced with 1 thunderstrike gauntlet.|
856|3||This model can be equipped with one of the following:1 ironstorm missile pod1 stormspear rocket pod1 twin Icarus autocannon|
857|1||This models meltagun can be replaced with 1 Questoris heavy stubber.|
857|2||This models reaper chainsword can be replaced with 1 thunderstrike gauntlet.|
857|3||This model can be equipped with one of the following:1 ironstorm missile pod1 stormspear rocket pod1 twin Icarus autocannon|
858|1||This models meltagun can be replaced with 1 Questoris heavy stubber.|
858|2||This model can be equipped with one of the following:1 ironstorm missile pod1 stormspear rocket pod1 twin Icarus autocannon|
859|1||This models meltagun can be replaced with 1 Questoris heavy stubber.|
859|2||This models thermal cannon can be replaced with:1 rapid-fire battle cannon and 1 Questoris heavy stubber|
859|3||This model can be equipped with one of the following:1 ironstorm missile pod1 stormspear rocket pod1 twin Icarus autocannon|
860|1||This models 2 Acastus autocannons can be replaced with one of the following:2 lascannons1 Acastus autocannon and 1 lascannon|
860|2||This models Acastus ironstorm missile pod can be replaced with 1 helios defence missiles.|
861|1|||
862|1|||
863|1|||
864|1|||
865|1||This models reaper chainsword can be replaced with 1 hekaton siege claw and 1 twin rad cleanser.|
866|1||This models reaper chainsword can be replaced with 1 hekaton siege claw and 1 twin rad cleanser.|
867|1||This models Warhound plasma blastgun can be replaced with one of the following:1 Warhound inferno gun1 Warhound turbo-laser destructor1 Warhound vulcan mega-bolter|
867|2||This models Warhound vulcan mega-bolter can be replaced with one of the following:1 Warhound inferno gun1 Warhound plasma blastgun1 Warhound turbo-laser destructor|
868|1||This models Reaver gatling blaster can be replaced with one of the following:1 Reaver laser blaster1 Reaver melta cannon1 Reaver volcano cannon1 Reaver power fist|
868|2||This models Reaver laser blaster can be replaced with one of the following:1 Reaver gatling blaster1 Reaver melta cannon1 Reaver volcano cannon|
869|1||This models 2 apocalypse launchers can be replaced with 2 laser blasters.|
869|2||This models arioch power claw can be replaced with one of the following:1 belicosa volcano cannon1 macro gatling blaster1 mori quake cannon1 sunfury plasma annihilator|
869|3||This models macro gatling blaster can be replaced with one of the following:1 arioch power claw1 belicosa volcano cannon1 mori quake cannon1 sunfury plasma annihilator|
875|1|||
877|1||This models bolt pistol can be replaced with 1 combi-weapon.|
877|2||This models blessed wardings can be replaced with 1 psychic gifts and 1 Psychic Shock Wave.|
877|3||If this model is equipped with 1 psychic gifts, its Inquisitorial melee weapon can be replaced with 1 force weapon.|
882|1||Any number of models can each have their guardian spear replaced with 1 sentinel blade and 1 praesidium shield.|
882|2||1 models guardian spear can be replaced with one of the following:1 vexilla and 1 misericordia1 vexilla, 1 misericordia and 1 praesidium shield|
883|1||This models multi-melta can be replaced with 1 Kheres-pattern assault cannon.|
884|1||This model can be equipped with 1 hunter-killer missile.|
884|2||This model can be equipped with 1 storm bolter.|
894|1|||
895|1|||
897|1||Any number of models can each have their twin penitent buzz-blades replaced with one of the following:1 penitent buzz-blade and 1 penitent flail1 twin penitent flails|
899|1||This models bolt pistol can be replaced with one of the following:1 condemnor boltgun1 inferno pistol1 plasma pistol|
899|2||This models hallowed chainsword can be replaced with one of the following:1 blessed blade1 power weapon|
899|3||If this model is equipped with a hallowed chainsword, it can be equipped with one of the following:1 brazier of holy fire1 null rod|
899|4||If this model is equipped with a plasma pistol and a power weapon, it can be equipped with:1 rod of office|
903|1||The Sister Superiors boltgun can be replaced with one of the following:1 bolt pistol1 combi-weapon1 condemnor boltgun1 inferno pistol1 Ministorum hand flamer1 plasma pistol|
903|2||The Sister Superior can be equipped with one of the following:1 chainsword1 power weapon|
903|3||1 Battle Sisters boltgun can be replaced with one of the following:1 artificer-crafted storm bolter1 meltagun1 Ministorum flamer|
903|4||1 Battle Sisters boltgun can be replaced with one of the following:1 artificer-crafted storm bolter1 heavy bolter1 meltagun1 Ministorum flamer1 Ministorum heavy flamer1 multi-melta|
903|5||1 Battle Sister equipped with 1 boltgun can be equipped with 1 simulacrum imperialis (that models boltgun cannot be replaced).|
904|1||For every 5 models in the unit, up to 2 Seraphim can each have their 2 bolt pistols replaced with one of the following:2 inferno pistols2 Ministorum hand flamers|
904|2||The Seraphim Superiors 2 bolt pistols can be replaced with one of the following:1 bolt pistol and 1 chainsword1 bolt pistol and 1 plasma pistol1 bolt pistol and 1 power weapon1 plasma pistol and 1 chainsword1 plasma pistol and 1 power weapon|
908|1||The Retributor Superiors boltgun can be replaced with one of the following:1 bolt pistol1 combi-weapon1 condemnor boltgun1 inferno pistol1 Ministorum hand flamer1 plasma pistol|
908|2||The Retributor Superior can be equipped with one of the following:1 chainsword1 power weapon|
908|3||Each Retributors heavy bolter can be replaced with one of the following:1 Ministorum heavy flamer1 multi-melta|
909|1||The Dominion Superiors boltgun can be replaced with one of the following:1 bolt pistol1 combi-weapon1 condemnor boltgun1 inferno pistol1 Ministorum hand flamer1 plasma pistol|
909|2||The Dominion Superior can be equipped with one of the following:1 chainsword1 power weapon|
909|3||Up to 4 Dominions can each have their boltgun replaced with one of the following:1 artificer-crafted storm bolter1 meltagun1 Ministorum flamer|
909|4||1 Dominion equipped with 1 boltgun can be equipped with 1 simulacrum imperialis (that models boltgun cannot be replaced).|
910|1||This model can be equipped with 1 hunter-killer missile.|
911|1||This model can be equipped with 1 hunter-killer missile.|
911|2||This models immolation flamers can be replaced with one of the following:1 twin heavy bolter1 twin multi-melta|
912|1||This model can be equipped with 1 hunter-killer missile.|
912|2||This models Exorcist missile launcher can be replaced with 1 Exorcist conflagration rockets.|
914|1||This model can be equipped with one of the following:1 comms antenna1 Icarus lascannon1 quad-gun|
917|1||This models battle cannon can be replaced with one of the following:1 Punisher gatling cannon1 quad-lascannon|
918|1||Each of this models quad lascannons can be replaced with one of the following:1 Punisher gatling cannon1 battle cannon|
918|2||This model can be equipped with one of the following:1 comms antenna1 Icarus lascannon1 quad-gun|
919|1|||
920|1||This model can be equipped with up to 4 heavy bolters.|
921|1||This model can be equipped with up to 4 heavy bolters.|
922|1|||
923|1|||
929|1||This models daemon hammer can be replaced with one of the following:1 accursed weapon1 Astartes chainsword|
929|2||This models plasma pistol can be replaced with 1 power fist.|
930|1||This models combi-bolter can be replaced with 1 combi-weapon.|
930|2||This models exalted weapon can be replaced with one of the following:1 chainfist1 power fist|
930|3||This models combi-bolter and exalted weapon can be replaced with 1 paired accursed weapons.|
931|1||This models bolt pistol can be replaced with one of the following:1 plasma pistol1 combi-weapon1 accursed weapon1 power fist|
931|2||This models Astartes chainsword can be replaced with one of the following:1 bolt pistol1 plasma pistol1 accursed weapon1 power fist|
931|3||This models bolt pistol and Astartes chainsword can be replaced with 1 paired accursed weapons.|
932|1||This models bolt pistol can be replaced with one of the following:1 plasma pistol1 combi-bolter1 combi-weapon1 accursed weapon1 power fist|
932|2||This models Astartes chainsword can be replaced with one of the following:1 bolt pistol1 plasma pistol1 accursed weapon1 power fist|
932|3||This models bolt pistol and Astartes chainsword can be replaced with 1 paired accursed weapons.|
933|1||This models bolt pistol can be replaced with one of the following:1 plasma pistol1 combi-bolter1 combi-weapon1 accursed weapon1 power fist|
933|2||This models Astartes chainsword can be replaced with one of the following:1 bolt pistol1 plasma pistol1 accursed weapon1 power fist|
933|3||This models bolt pistol and Astartes chainsword can be replaced with 1 paired accursed weapons.|
934|1||This models bolt pistol can be replaced with one of the following:1 plasma pistol1 combi-bolter1 combi-weapon1 accursed weapon1 power fist|
934|2||This models Astartes chainsword can be replaced with one of the following:1 bolt pistol1 plasma pistol1 accursed weapon1 power fist|
934|3||This models bolt pistol and Astartes chainsword can be replaced with 1 paired accursed weapons.|
935|1||This models bolt pistol can be replaced with one of the following:1 plasma pistol1 combi-bolter1 combi-weapon1 accursed weapon1 power fist|
935|2||This models Astartes chainsword can be replaced with one of the following:1 bolt pistol1 plasma pistol1 accursed weapon1 power fist|
935|3||This models bolt pistol and Astartes chainsword can be replaced with 1 paired accursed weapons.|
939|1||This models combi-bolter can be replaced with 1 combi-weapon.|
939|2||This model can be equipped with 1 Chaos familiar.|
940|1||This models bolt pistol can be replaced with one of the following:1 plasma pistol1 combi-bolter1 combi-weapon1 accursed weapon1 Astartes chainsword1 power fist|
941|1||This models bolt pistol can be replaced with one of the following:1 plasma pistol1 combi-bolter1 combi-weapon1 accursed weapon1 Astartes chainsword1 power fist|
942|1||This models bolt pistol can be replaced with one of the following:1 plasma pistol1 combi-bolter1 combi-weapon1 accursed weapon1 Astartes chainsword1 power fist|
943|1||This models bolt pistol can be replaced with one of the following:1 plasma pistol1 combi-bolter1 combi-weapon1 accursed weapon1 Astartes chainsword1 power fist|
946|1||The Cultist Champions autopistol can be replaced with 1 bolt pistol.|
947|1||For every 5 models in this unit, 1 Terminators combi-bolter can be replaced with one of the following:1 heavy flamer1 reaper autocannon|
947|2||Any number of models can each have their combi-bolter replaced with 1 combi-weapon.|
947|3||For every 5 models in this unit, 1 models combi-bolter and accursed weapon can be replaced with 1 paired accursed weapons.|
947|4||For every 5 models in this unit, up to 3 models can each have their accursed weapon replaced with 1 power fist.|
947|5||For every 5 models in this unit, 1 models accursed weapon can be replaced with 1 chainfist.|
952|1||For every 5 models in this unit, up to 2 models can each have their bolt pistol replaced with 1 plasma pistol.|
952|2||For every 5 models in this unit, up to 2 models can each have their boltgun replaced with 1 combi-weapon.|
952|3||For every 5 models in this unit, 1 models boltgun and accursed weapon can be replaced with 1 paired accursed weapons.|
952|4||For every 5 models in this unit, 1 model equipped with a boltgun can have its accursed weapon replaced with 1 power fist. That models boltgun cannot be replaced.|
952|5||1 model can be equipped with 1 Chaos icon.|
953|1||1 model can be equipped with 1 Chaos icon.|
954|1||This models multi-melta can be replaced with one of the following:1 Helbrute plasma cannon1 twin autocannon1 twin heavy bolter1 twin lascannon1 Helbrute fist|
954|2||This models missile launcher can be replaced with one of the following:1 Helbrute fist1 Helbrute hammer1 power scourge|
954|3||For each Helbrute fist this model is equipped with, it can be equipped with one of the following:1 combi-bolter1 heavy flamer|
955|1|||
956|1||This model can be equipped with one of the following:1 combi-bolter1 combi-weapon|
956|2||This model can be equipped with 1 havoc launcher or can replace 1 combi-bolter with 1 havoc launcher.|
957|1||The Biker Champions bolt pistol can be replaced with one of the following:1 plasma pistol1 accursed weapon1 Astartes chainsword1 power fist|
957|2||Any number of Chaos Bikers can each have their bolt pistol replaced with 1 Astartes chainsword.|
957|3||Up to 2 Chaos Bikers can each have their combi-bolter replaced with 1 combi-weapon, or can be equipped with one of the following:1 flamer1 meltagun1 plasma gun|
957|4||1 model can be equipped with 1 Chaos icon.|
958|1||The Raptor Champions bolt pistol can be replaced with 1 plasma pistol.|
958|2||The Raptor Champions Astartes chainsword can be replaced with one of the following:1 accursed weapon1 heavy melee weapon|
958|3||For every 5 models in this unit, up to 2 Raptors can each have their bolt pistol replaced with 1 plasma pistol (these models Astartes chainswords cannot be replaced).|
958|4||For every 5 models in this unit, up to 2 Raptors can each have their Astartes chainsword replaced with 1 heavy melee weapon.|
958|5||For every 5 models in this unit, 1 Raptor can replace their Astartes chainsword with 1 mutations.|
958|6||Up to 2 Raptors can each have their Astartes chainsword replaced with one of the following options (you cannot select the same option more than once):1 flamer and 1 close combat weapon1 meltagun and 1 close combat weapon1 plasma gun and 1 close combat weapon|
958|7||If this unit contains 10 models, up to 2 additional Raptors can each have their Astartes chainsword replaced with one of the following options (you cannot select the same option more than once):1 flamer and 1 close combat weapon1 meltagun and 1 close combat weapon1 plasma gun and 1 close combat weapon|
959|1|||
960|1|||
961|1||This models Hades autocannon can be replaced with 1 baleflamer.|
962|1||This model can be equipped with one of the following:1 combi-bolter1 combi-weapon|
962|2||This model can be equipped with 1 havoc launcher.|
963|1||This model can be equipped with one of the following:2 heavy bolters2 lascannons|
963|2||This model can be equipped with one of the following:1 combi-bolter1 combi-weapon|
963|3||This model can be equipped with 1 Havoc launcher.|
964|1||This model can be equipped with one of the following:1 combi-bolter1 combi-weapon|
964|2||This model can be equipped with 1 Havoc launcher.|
966|1||The Havoc Champions Astartes chainsword can be replaced with one of the following:1 accursed weapon1 power fist|
966|2||The Havoc Champions flamer can be replaced with one of the following:1 boltgun1 meltagun1 plasma gun1 plasma pistol1 accursed weapon1 power fist|
966|3||Any number of Havocs can each have their Havoc autocannon or Havoc lascannon replaced with one of the following:1 Havoc autocannon1 Havoc heavy bolter1 Havoc lascannon1 Havoc missile launcher1 Havoc reaper chaincannon|
967|1||This models 2 Hades autocannons can be replaced with 2 ectoplasma cannons.|
967|2||This models Forgefiend jaws can be replaced with 1 ectoplasma cannon and 1 armoured limbs.|
968|1||This models lasher tendrils can be replaced with 2 magma cutters.|
969|1||This models twin heavy flamer can be replaced with one of the following:1 Defiler scourge1 havoc launcher|
969|2||This models reaper autocannon can be replaced with one of the following:1 twin heavy bolter1 twin lascannon|
969|3||This model can be equipped with one of the following:1 combi-bolter1 combi-weapon|
970|1||This models gorestorm cannon can be replaced with one of the following:1 daemongore cannon1 ichor cannon|
970|2||This models Hades gatling cannon can be replaced with 1 skullhurler.|
1016|1||This model can be equipped with 1 Prosperine khopesh.|
1017|1||This models inferno combi-bolter can be replaced with 1 inferno combi-weapon.|
1020|1||The Aspiring Sorcerers inferno bolt pistol can be replaced with 1 warpflame pistol.|
1020|2||1 Rubric Marines inferno boltgun can be replaced with 1 soulreaper cannon.|
1020|3||Any number of Rubric Marines can each have their inferno boltgun replaced with 1 warpflamer.|
1020|4||1 Rubric Marine can be equipped with 1 icon of flame.|
1021|1||This models multi-melta can be replaced with one of the following:1 Helbrute plasma cannon1 twin autocannon1 twin inferno heavy bolter1 twin lascannon1 Helbrute fist|
1021|2||This models missile launcher can be replaced with one of the following:1 Helbrute fist1 Helbrute hammer1 power scourge|
1021|3||For each Helbrute fist this model is equipped with, it can be equipped with one of the following:1 inferno combi-bolter1 heavy flamer|
1022|1||This model can be equipped with one of the following:1 additional inferno combi-bolter1 inferno combi-weapon|
1022|2||This model can be equipped with 1 havoc launcher or can replace 1 inferno combi-bolter with 1 havoc launcher.|
1024|1||This models Hades autocannon can be replaced with 1 baleflamer.|
1025|1||This model can be equipped with one of the following:1 inferno combi-bolter1 inferno combi-weapon|
1025|2||This model can be equipped with 1 havoc launcher.|
1026|1||This model can be equipped with one of the following:2 lascannons2 inferno heavy bolters|
1026|2||This model can be equipped with one of the following:1 inferno combi-bolter1 inferno combi-weapon|
1026|3||This model can be equipped with 1 havoc launcher.|
1027|1||This model can be equipped with one of the following:1 inferno combi-bolter1 inferno combi-weapon|
1027|2||This model can be equipped with 1 havoc launcher.|
1028|1||This models 2 Hades autocannons can be replaced with 2 ectoplasma cannons.|
1028|2||This models Forgefiend jaws can be replaced with 1 ectoplasma cannon and 1 Forgefiend claws.|
1029|1||This models lasher tendrils can be replaced with 2 magma cutters.|
1030|1||This models twin heavy flamer can be replaced with one of the following:1 Defiler scourge1 havoc launcher|
1030|2||This models reaper autocannon can be replaced with one of the following:1 twin lascannon1 twin inferno heavy bolter|
1030|3||This model can be equipped with 1 inferno combi-weapon.|
1033|1||This model can be equipped with 1 Prosperine khopesh.|
1034|1||Any number of models can each have their Tzaangor blades replaced with 1 autopistol and 1 chainsword.|
1034|2||1 Tzaangor not equipped with a herd banner can be equipped with 1 brayhorn.|
1034|3||1 Tzaangor not equipped with a brayhorn can be equipped with 1 herd banner.|
1035|1||The Scarab Occult Sorcerers inferno combi-bolter can be replaced with 1 Prosperine khopesh.|
1035|2||For every 5 models in this unit, 1 Scarab Occult Terminators inferno combi-bolter can be replaced with one of the following:1 heavy warpflamer1 soulreaper cannon|
1035|3||For every 5 models in this unit, 1 Scarab Occult Terminator can be equipped with 1 hellfyre missile rack.|
1037|1||This models plague bolt pistol can be replaced with one of the following:1 combi-weapon1 plague combi-bolter1 plague fist1 plague-encrusted exalted weapon1 plasma pistol|
1037|2||This models Astartes chainsword can be replaced with one of the following:1 plague fist1 plague-encrusted exalted weapon|
1037|3||This models plague bolt pistol and Astartes chainsword can be replaced with 1 twin lighting claws.|
1038|1||This models plague combi-bolter can be replaced with one of the following:1 combi-weapon1 plague-encrusted exalted weapon|
1038|2||This models plague-encrusted exalted weapon can be replaced with one of the following:1 chainfist1 plague fist|
1038|3||This models plague combi-bolter and plague-encrusted exalted weapon can be replaced with 1 twin lighting claws.|
1041|1||This models plague combi-bolter can be replaced with one of the following:1 combi-weapon1 plague-encrusted exalted weapon|
1041|2||This models force weapon can be replaced with one of the following:1 chainfist1 plague fist1 plague-encrusted exalted weapon|
1041|3||This models plague combi-bolter and force weapon can be replaced with 1 twin lighting claws.|
1043|1||For every 10 models in the unit, 1 Death Guard Cultists Cultist firearm can be replaced with 1 flamer.|
1043|2||For every 10 models in the unit, 1 Death Guard Cultists Cultist firearm can be replaced with 1 heavy stubber.|
1043|3||For every 10 models in the unit, 1 Death Guard Cultists Cultist firearm can be replaced with 1 grenade launcher.|
