faction_id|name|id|type|cp_cost|legend|turn|phase|detachment|detachment_id|description|Unnamed: 11
CSM|EYE OF THE GODS|8358002|Pactbound Zealots  Epic Deed Stratagem|1.0|The eyes of the Dark Gods fall upon those who slaughter in their name.|Either players turn|Fight phase|Pactbound Zealots|751.0|WHEN: Fight phase, just after a HERETIC ASTARTES CHARACTER unit from your army (excluding  DAMNED, DAEMON and EPIC HERO units) destroys a enemy unit.TARGET: One HERETIC ASTARTES CHARACTER model in that unit. EFFECT: Until the end of the battle, add 1 to the Move, Toughness and Wounds characteristics of that  CHARACTER model, and add 1 to the Attacks. Strength and Damage characteristics of that CHARACTER models melee weapons.|
CSM|ETERNAL HATE|8358003|Pactbound Zealots  Strategic Ploy Stratagem|1.0|The Blood Gods thirst can never be slaked.|Either players turn|Fight phase|Pactbound Zealots|751.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One HERETIC ASTARTES unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, each time a model in your unit is destroyed, if that model has not fought this phase, roll one D6, adding 1 to the result if it is a Khorne unit: on a 4+, do not remove it from play. That destroyed model can fight after the attacking models unit has finished making its attacks, and is then removed from play.|
CSM|TORPEFYING REFRAIN|8358006|Pactbound Zealots  Strategic Ploy Stratagem|1.0|As these warriors traverse the battlefield, an unnatural symphony of hypnotic music accompanies their every move, stupefying their enemies.|Your turn|Movement phase|Pactbound Zealots|751.0|WHEN: Your Movement phase.TARGET: One HERETIC ASTARTES unit from your army.EFFECT: Until the end of the turn, your unit is eligible to declare a charge in a turn in which it Fell Back. If your unit is a Slaanesh unit, until the end of the turn, your unit is eligible to shoot and declare a charge in a turn in which it Advanced or Fell Back.|
CSM|FESTERING MIASMA|8358007|Pactbound Zealots  Strategic Ploy Stratagem|1.0|A roiling storm of warp energy obscures the Heretic Astartes, leaving their foes shooting at indistinct shadows.|Opponents turn|Shooting phase|Pactbound Zealots|751.0|"WHEN: Your opponents Shooting phase, just after an enemy unit has selected its targets.TARGET: One HERETIC ASTARTES unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, your unit has the Stealth ability. In addition, if your unit is a Nurgle unit, it can only be selected as the target of a ranged attack if the attacking model is within 18""."|
CSM|UNFAILINGLY OBDURATE|8969002|Renegade Raiders  Battle Tactic Stratagem|1.0|Such is their determination to claim their due that these warriors will gladly weather a storm of fire.|Either players turn|Shooting or Fight phase|Renegade Raiders|869.0|WHEN: Your opponents Shooting phase or the Fight phase, just after an enemy unit has selected its targets.TARGET: One HERETIC ASTARTES unit from your army (excluding DAMNED units) that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.|
CSM|RUINOUS RAID|8969006|Renegade Raiders  Battle Tactic Stratagem|1.0|Utilising their swift transports, these ravagers plunge through the enemy lines to assault key positions.|Your turn|Shooting or Fight phase|Renegade Raiders|869.0|WHEN: Your Shooting phase or your Fight phase TARGET: One HERETIC ASTARTES unit from your army that disembarked from a TRANSPORT this turn and has not been selected to shoot or fight this phase. EFFECT: Until the end of the phase, each time a  model in your unit makes an attack, if the target of that attack is within range of an objective marker, you can re-roll the Hit roll and you can re-roll the Wound roll.|
CSM|SCOUR AND SEIZE|8969003|Renegade Raiders  Battle Tactic Stratagem|1.0|If the bounty is to be claimed, the foe must first be purged.|Either players turn|Fight phase|Renegade Raiders|869.0|WHEN: Fight phase.TARGET: One HERETIC ASTARTES unit from your army that has not been selected to fight this phase.EFFECT: Until the end of the phase, each time a model in your unit makes an attack that targets a unit within range of an objective marker, that attack has the [PRECISION] ability.|
CSM|REAVERS HASTE|8969007|Renegade Raiders  Strategic Ploy Stratagem|1.0|The prospect of riches spurs these renegade warriors forwards. Woe betide any in their path.|Your turn|Charge phase|Renegade Raiders|869.0|WHEN: Your Charge phase.TARGET: One HERETIC ASTARTES INFANTRY or HERETIC ASTARTES MOUNTED unit from your army.EFFECT: Until the end of the phase, your unit is eligible to declare a charge in a turn in which it  Advanced. If you select one or more units within range of an objective marker as a target of that charge, add 1 to the Charge roll.|
CSM|OPPORTUNISTIC RAIDERS|8969004|Renegade Raiders  Strategic Ploy Stratagem|1.0|Mobility is the key to victory These Heretic Astartes raiders outmanoeuvre and outflank the foe in order to achieve victory.|Either players turn|Fight phase|Renegade Raiders|869.0|"WHEN: End of the Fight phaseTARGET: One HERETIC ASTARTES unit from your army that was eligible to fight this phase.EFFECT: If your unit is not within Engagement Range of one or more enemy units, it can make a Normal move of up to 6"", or up to 12"" if it is a MOUNTED unit. Otherwise, your unit can make a Fall Back move. It cannot embark within a TRANSPORT at the end of this move if it disembarked from a TRANSPORT this turn."|
CSM|WARPCHARGED ENGINES|8969005|Renegade Raiders  Wargear Stratagem|1.0|The engines of this vehicle or construct crackle with the raw energies of the immaterium, propelling it forward or incredible speed.|Your turn|Movement phase|Renegade Raiders|869.0|"WHEN: Your Movement phase.TARGET: One HERETIC ASTARTES TRANSPORT or HERETIC ASTARTES MOUNTED unit from your army that has not been selected to move this phase.EFFECT: Until the end of the phase, if your unit  Advances, do not make an Advance roll for it. Instead, until the end of the phase, add 6"" to the Move characteristic of models in your unit."|
CSM|DESPERATE PLEDGE|8986002|Soulforged Warpack  Battle Tactic Stratagem|1.0|A daemon construct may beseech the Arkifane for further aid, adding to its soul debt in return for greater might.|Either players turn|Shooting or Fight phase|Soulforged Warpack|873.0|WHEN: Your Shooting phase or the Fight phase.TARGET: One HERETIC ASTARTES DAEMON VEHICLE unit from your army that has not been selected to shoot or fight this phase.EFFECT: Until the end of the phase, if your unit invokes its contract, each time it makes an attack, improve the Armour Penetration characteristic of that attack by 1.|
CSM|DAEMONIC POSSESION|8986004|Soulforged Warpack  Epic Deed Stratagem|1.0|Those steeped in techno-sorcery may trammel daemonic entities within mechanical constructs.|Your turn|Command phase|Soulforged Warpack|873.0|WHEN: Your Command phase.TARGET: One HERETIC ASTARTES VEHICLE unit from your army (excluding Daemon units).EFFECT: Until the end of the battle, your unit has the DAEMON keyword.|
CSM|UNSTOPPABLE RAMPAGE|8986005|Soulforged Warpack  Strategic Ploy Stratagem|1.0|The tortured machine spirits of Heretic Astartes vehicles are driven forward by their anguish.|Your turn|Movement or Charge phase|Soulforged Warpack|873.0|WHEN: Your Movement phase or Charge phase.TARGET: One Heretic Astartes Vehicle or Vashtorr the Arkifane unit from your army that has not been selected to move or charge this phase.EFFECT: Until the end of the phase, each time your unit makes Normal, Advance or charge move, it can move horizontally through terrain features as if they were not there.|
CSM|PREDATORY PURSUIT|8986006|Soulforged Warpack  Strategic Ploy Stratagem|1.0|Corrupted Heretic Astartes Vehicles Pursue their prey with an animalistic determination.|Opponents turn|Movement phase|Soulforged Warpack|873.0|"WHEN: Your opponents Movement phase, just after an enemy unit ends a Normal, Advance or Fall back move.TARGET: One HERETIC ASTARTES VEHICLE or Vashtorr the Arkifane unit from your army that is within 9"" of that enemy unit and not within Engagement Range of one or more enemy units.EFFECT: Your unit can make a Normal move of up to 6"", but must end that move as close as possible to that enemy unit."|
CSM|FEEDING FRENZY|8986007|Soulforged Warpack  Strategic Ploy Stratagem|1.0|The daemonic entities at the heart of possessed vehicles hunger for the life force of their enemies.|Opponents turn|Movement phase|Soulforged Warpack|873.0|WHEN: Your opponents Movement phase, when an enemy unit (excluding MONSTER and VEHICLES) is selected to Fall Back.TARGET: One HERETIC ASTARTES DAEMON VEHICLE or Vashtorr the Arkifane unit from your army that is within Engagement Range of that enemy unit.EFFECT: Until the end of the phase, each time an enemy unit (excluding MONSTERS and VEHICLES) that is within Engagement Range of your units Falls Back, all models in that enemy unit must take a Desperate Escape test. When doing so, of that enemy unit is Battle-shocked, substract 1 from each of those tests.|
CSM|GLUT OF SOULS|8986003|Soulforged Warpack  Strategic Ploy Stratagem|1.0|Wrh each soul harvested the bound daemon comes closer to settling its contract and earning freedom.|Either players turn|Fight phase|Soulforged Warpack|873.0|WHEN: Fight phase.TARGET: One HERETIC ASTARTES DAEMON VEHICLE unit from your army (excluding Titanic units) that has not been selected to fight this phase.EFFECT: Until the end of the phase, if your unit invokes its contract, each time it makes an attack that destroys an enemy model, roll one D6: on 5+, your unit regains 1 lost wound after all of its attacks have been resolved (to a maximum of 6 wound).|
CSM|FLEETING MIGHT|9513003|Underdeck Uprising  Battle Tactic Stratagem|1.0|For one tantalising instant, the dark prayers of these fanatics are answered by some infernal warp patron, placing the power to slay champions in their hands.|Either players turn|Shooting or Fight phase|Underdeck Uprising|947.0|WHEN: Your Shooting phase or the Fight phase, just after a DAMNED unit from your army makes a Dark Pact.TARGET: That DAMNED unit.EFFECT: Until the end of the phase, weapons equipped by models in your unit have the [DEVASTATING WOUNDS] ability.|
CSM|INFERNAL ALTARS|9513002|Underdeck Uprising  Battle Tactic Stratagem|1.0|Whether heretical fanes unveiled amidst the rebellion or heaped corpses and votive offerings, these ritual foci lend the faithful supernatural protection.|Either players turn|Shooting or Fight phase|Underdeck Uprising|947.0|WHEN: Your opponents Shooting phase or the Fight phase, just after an enemy unit has selected its targets.TARGET: One DAMNED unit from your army that was selected as the target of one or more of the attacking unit's attacks.EFFECT: Until the end of the phase, each time an attack targets your unit, if your unit is within range of an objective marker, models in your unit have the Feel No Pain 5+ ability against that attack. If your unit has the CULTIST MOB keyword, models in it have the Feel No Pain 4+ ability against that attack instead.|
CSM|STORM THE BRIDGE!|9513005|Underdeck Uprising  Strategic Ploy Stratagem|1.0|Seizing their opportunity to strike a fatal blow against those who have oppressed them for so long - and please the Dark Gods in the process - these heretics surge forwards with zealous ferocity.|Your turn|Charge phase|Underdeck Uprising|947.0|WHEN: Your Charge phase.TARGET: One DAMNED or CHAOS SPAwN unit from your army.EFFECT: Until the end of the phase, your unit is eligible to declare a charge in a turn in which it Advanced.|
CSM|CRUDE SABOTAGE|9513004|Underdeck Uprising  Strategic Ploy Stratagem|1.0|Using charged rigged from scavenged junk and pollutant runoff, the fanatical masses blast open the hatchways that bar their paths to ascension.|Your turn|Movement phase|Underdeck Uprising|947.0|WHEN: Your Movement phase.TARGET: One CULTIST MOB or DAMNED CHARAcTER unit from your army that has not been selected to move this phase and is not within Engagement Range of one or more enemy units.EFFECT: Select one closed Hatchway within 1 of your unit. Your unit can attempt to operate that Hatchway.RESTRICTIONS: Until the end of the turn, your unit cannot attempt to operate a Hatchway again.|
CSM|LET THE GALAXY BURN|8961006|Veterans of the Long War  Battle Tactic Stratagem|1.0|No barricade or fortification is proof against the vengeful fury of these hate-fuelled murderers.|Your turn|Shooting phase|Veterans of the Long War|867.0|WHEN: Your Shooting phase.TARGET: One HERETIC ASTARTES unit from your army (excluding TZEENTCH units) that has not been selected to shoot this phaseEFFECT: Until the end of the phase, ranged weapons equipped by models in your unit have the [IGNORES COVER] ability, and change the Attacks characteristic of Torrent weapons equipped by models in your unit to 6.|
CSM|CONTEMPTUOUS DISREGARD|8961003|Veterans of the Long War  Battle Tactic Stratagem|1.0|Such embittered warriors as these shrug off hails of enemy fire with arrogant disdain.|Either players turn|Shooting or Fight phase|Veterans of the Long War|867.0|WHEN: Your opponents Shooting phase or the Fight phase, just after an enemy unit has selected its targets.TARGET: One HERETIC ASTARTES unit from your army (excluding DAMNED units) that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.|
CSM|BRINGERS OF DESPAIR|8961004|Veterans of the Long War  Epic Deed Stratagem|2.0|Fearful of countenance, these ancient warriors are redolent with warp power and radiate a horrifying aura of might.|Either players turn|Fight phase|Veterans of the Long War|867.0|WHEN: Start of the Fight phase.TARGET: One HERETIC ASTARTES unit from your army (excluding DAMNED units) that is within Engagement Range of your focus of hatred.EFFECT: Until the end of the phase, your unit has the Fights First ability.|
CSM|ENDLESS IRE|8961002|Veterans of the Long War  Epic Deed Stratagem|2.0|No amount of bloodshed can truly satisfy this bitter champion's desire for vengeance.|Either players turn|Any phase|Veterans of the Long War|867.0|"WHEN: Any phase, just after your focus of hatred is destroyed.TARGET: One HERETIC ASTARTES CHARACTER unit from  your army (excluding DAMNED units) EFFECT: Select one enemy unit within 12"" of and visible to your unit. Until the start of your next Command phase, that enemy unit is considered to be your focus of hatred."|
CSM|BLACK CRUSADE|8961005|Veterans of the Long War  Strategic Ploy Stratagem|1.0|The Warmaster s Black Crusade grinds ever onwards without restraint or remorse.|Your turn|Movement phase|Veterans of the Long War|867.0|WHEN: Your Movement phaseTARGET: One HERETIC ASTARTES INFANTRY unit or HERETIC ASTARTES MOUNTED unit from your army  (excluding DAMNED units).EFFECT: Until the end of the turn, your unit is  eligible to shoot in a turn in which it Advanced  or Fell Back, and bolt pistols, boltguns and combi-bolters equipped by models in your unit have  the [DEVASTATING WOUNDS] ability while your unit has not already inflicted 6 wounds this turn using that ability.|
CSM|MILLENNIA OF EXPERIENCE|8961007|Veterans of the Long War  Strategic Ploy Stratagem|1.0|Thousands of years of ceaseless conflict have forged these warriors into skilled and merciless killers.|Opponents turn|Movement phase|Veterans of the Long War|867.0|"WHEN: Your opponents Movement phase, just after an enemy unit ends a Normal, Advance or Fall Back move.TARGET: One HERETIC ASTARTES INFANTRY or HERETIC ASTARTES MOUNTED unit from your army (excluding  DAMNED units) that is within 9"" of that enemy unit and not within Engagement Range of one or more enemy units.EFFECT: Your unit can make a Normal move of up to 6""."|
DG|CLOUD OF FLIES|9417005|Arch-Contaminators  Battle Tactic Stratagem|1.0|Plague flies engulf these warriors in a storm of buzzing wings and pustulent bodies, soaking up incoming enemy fire and obscuring the Death Guard elite from the foe.|Opponents turn|Shooting phase|Arch-Contaminators|932.0|WHEN: Your opponents Shooting phase, just after an enemy unit has selected its targets.TARGET: One DEATH GUARD unit from your army that was selected as the target of one or more of the attacking unit's attacks.EFFECT: Until the end of the turn, each time an attack targets your unit, subtract 1 from the Hit roll.|
DG|ALLIES OF ENTROPY|9417002|Arch-Contaminators  Strategic Ploy Stratagem|1.0|The foul vitality that flows through these warriors is slow to depart, even in extremis.|Either players turn|Shooting phase|Arch-Contaminators|932.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One DEATH GUARD unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, each time a model in your unit is destroyed, if that model has not fought this phase, roll one D6: on a 4+, do not remove the destroyed model from play; it can fight after the attacking unit has finished making its attacks, and is then removed from play.|
DG|CORROSIVE CURSE|9417004|Arch-Contaminators  Strategic Ploy Stratagem|1.0|Mere proximity to these repulsive plague champions is enough to see vital systems rust and crumble as the taint of Chaos consumes them.|Your turn|Shooting phase|Arch-Contaminators|932.0|WHEN: Start of your Shooting phase.TARGET: One DEATH GUARD TERMINATOR unit from your army that is not within Engagement Range of one or more enemy units.EFFECT: Select one objective marker within Contagion Range of and visible to your unit. That objective marker is Secured by your army.RESTRICTIONS: You can only use this Stratagem once and, until the end of the turn, your unit is not eligible to shoot or declare a charge.|
DG|SEED OF CORRUPTION|9417003|Arch-Contaminators  Strategic Ploy Stratagem|1.0|Like infectious spores contaminating their victim, the warriors of the Death Guard teleport into battle then dig in as their foulness slowly spreads around them.|Your turn|Shooting phase|Arch-Contaminators|932.0|WHEN: Your Shooting phase.TARGET: One DEATH GUARD TERMINATOR unit from your army that has not been selected to shoot this phase.EFFECT: If your unit was set up on the battlefield this turn, it can perform a Tactical Manoeuvre this phase as if it was not set up on the battlefield this turn.|
DG|BLESSINGS OF FILTH|10132002|Champions of Contagion  Battle Tactic Stratagem|1.0|Employing their unique gifts, this champion enhances the weapons of their comrades with even greater levels of infectious malevolence.|Either players turn|Shooting or Fight phase|Champions of Contagion|1051.0|WHEN: Your Shooting phase or the Fight phase.TARGET: One Death Guard Attached unit from your army that has not been selected to shoot or fight this phase.EFFECT: Until the end of the phase, each time a model in your unit makes an attack, an unmodified Hit roll of 5+ scores a Critical Hit.|
DG|MALIGNANCE MAGNIFIED|10132003|Champions of Contagion  Battle Tactic Stratagem|2.0|The vile talents of such plague specialists act like a filth-smeared lens, focusing and intensifying the infectious gifts of Nurgle.|Either players turn|Shooting or Fight phase|Champions of Contagion|1051.0|WHEN: Your Shooting phase or the Fight phase.TARGET: One Death Guard Attached unit from your army that has not been selected to shoot or fight this phase.EFFECT: Until the end of the phase, each time a model in your unit makes an attack that targets a unit that is below its Starting Strength, you can re-roll the Hit roll and you can re-roll the Wound roll.|
DG|GROTESQUE FORTITUDE|10132004|Champions of Contagion  Battle Tactic Stratagem|1.0|After their champion calls down the blessings of Nurgle, these warriors can fight on no matter the catastrophic, often gruesome, damage done to them by the foe.|Either players turn|Shooting or Fight phase|Champions of Contagion|1051.0|WHEN: Your opponents Shooting phase or the Fight phase, just after an enemy unit has selected its targets.TARGET: One Death Guard Attached unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, add 2 to the Toughness characteristic of models in your unit.|
DG|MOBILE VECTOR|10132006|Champions of Contagion  Strategic Ploy Stratagem|1.0|Nurgle's champions move through the Death Guard ranks like squirming parasites.|Your turn|Movement phase|Champions of Contagion|1051.0|"WHEN: Your Movement phase, before the Reinforcements step.TARGET: One Death Guard Character unit from your army that is not leading a unit.EFFECT: Select one other friendly Death Guard unit (excluding Battle-shocked units and Attached units that already have two Leader units or one of your CHARACTER units leading it] within 2"" horizontally and 5"" vertically of your unit that your unit can lead (as described in the Leader section of its datasheet]. Your unit attaches to that unit as a Leader. Change that units Starting Strength accordingly."|
DG|RABID INFUSION|10132005|Champions of Contagion  Strategic Ploy Stratagem|1.0|The combined talents of these Death Guard champions drive their followers into a foam-jawed fury, be it through injection with a curdled cocktail of stimms or immersion in a fug of infectious agents.|Either players turn|Fight phase|Champions of Contagion|1051.0|WHEN: Start of the Fight phase.TARGET: One Death Guard unit from your army that includes two Character models.EFFECT: Until the end of the phase, your unit has the Fights First ability.|
DG|DEATHS HEADS|10132007|Champions of Contagion  Wargear Stratagem|1.0|It takes much effort and sacrifice to fashion the disgusting explosives known as death's heads, but the results are spectacularly horrible.|Your turn|Shooting phase|Champions of Contagion|1051.0|"WHEN: Your Shooting phase.TARGET: One Biologus Putrifier unit from your army that is not within Engagement Range of one or more enemy units and has not been selected to shoot this phase.EFFECT: Select one enemy unit (excluding VEHICLES) that is within 8"" of and visible to your unit. Until the start of your next turn, that unit has the effect of all Plagues (see Nurgles Gift)."|
DG|GRIM REAPERS|10144003|Death Lords Chosen  Battle Tactic Stratagem|1.0|Swollen with bitter arrogance, these warriors carve a path through their perceived lessers and leave them as worm food.|Either players turn|Fight phase|Death Lords Chosen|1054.0|WHEN: Fight phase.TARGET: One Terminator unit from your army that has not been selected to fight this phase.EFFECT: Until the end of the phase, each time a model in your unit makes an attack that targets an enemy unit (excluding MONSTERS and VEHICLES) you can re-roll the Hit roll.|
DG|SIGNAL POX|10144005|Death Lords Chosen  Epic Deed Stratagem|1.0|Guided in by rasping jets of fumes sent up by this Lord of Virulence, plague-ridden artillery fire and airbursting spore-shells saturate the target zone.|Your turn|Command phase|Death Lords Chosen|1054.0|"WHEN: Your Command phase.TARGET: One Lord of Virulence model from your army.EFFECT: Select one objective marker within 30"" of and visible to your model. Until the start of your next turn, while an enemy unit is within range of that objective marker, that unit is Afflicted."|
DG|BLOOMING PESTILENCE|10144002|Death Lords Chosen  Epic Deed Stratagem|1.0|Death Guard warriors know to chant the sevenfold prayers to unleash Nurgle's bounty on the foe.|Either players turn|Any phase|Death Lords Chosen|1054.0|"WHEN: Start of any phase.TARGET: One Terminator unit from your army.EFFECT: Until the end of the phase, add 3"" to the Contagion Range of models in your unit."|
DG|UNDYING SPITE|10144004|Death Lords Chosen  Strategic Ploy Stratagem|1.0|Driven by bitterness and the putrid vitality of Nurgle's gifts, these warriors fight on for several moments, even after death.|Either players turn|Fight phase|Death Lords Chosen|1054.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One Terminator unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, each time a model in your unit is destroyed, if that model has not fought this phase, roll one D6. On a 4+, do not remove the destroyed model from play; it can fight after the attacking unit has finished making its attacks, and is then removed from play.|
DG|MORTARION'S TEACHINGS|10144006|Death Lords Chosen  Strategic Ploy Stratagem|1.0|Exemplifying the Daemon Primarch's doctrines on versatile heavy infantry tactics, these warriors position themselves and let fly.|Your turn|Shooting phase|Death Lords Chosen|1054.0|WHEN: Your Shooting phase.TARGET: One Terminator unit from your army that has not been selected to shoot this phase.EFFECT: Until the end of the phase, ranged weapons equipped by models in your unit have the [ASSAULT] and [HEAVY] abilities.|
DG|SICKENING IMPACT|10144007|Death Lords Chosen  Strategic Ploy Stratagem|1.0|Employing their crushing bulk and contagious gifts, these Terminators slam into their victims and grind them into putrefying mulch.|Your turn|Charge phase|Death Lords Chosen|1054.0|WHEN: Your Charge phase, just after a Terminator unit from your army ends a Charge move.TARGET: That TERMINATOR unit.EFFECT: Select one enemy unit within Engagement Range of your unit, then roll one D6 for each model in your unit that is within Engagement Range of that enemy unit: for each 2+, that enemy unit suffers 1 mortal wound (to a maximum of 6 mortal wounds).|
DG|INFESTATION|9399004|Embarked Regiment  Strategic Ploy Stratagem|1.0|The taint left by the servants of Nurgle is not easily scoured from the stuff of realspace.|Either players turn|Any phase|Vectors of Decay|930.0|WHEN: Start or end of any turn, when an enemy unit attempts to Seize an objective marker you have Secured.TARGET: One DEATH GUARD unit from your army (excluding CULTISTS and POXwALKERS units) within Contagion Range of that objective marker.EFFECT: Roll one D6: on a 5+, until the end of your next turn, that objective marker remains Secured by your army and you are considered to control it, regardless of how many enemy models are within range of it.RESTRICTIONS: You can only use this Stratagem once per battle round.|
DG|MYPHITIC INVIGORATION|9730007|Flyblown Host  Battle Tactic Stratagem|1.0|Daemon flies are drawn to and invigorated by the foul miasmas surrounding Myphitic Blighthaulers. In the vicinity of these malodorous constructs, the swarms gather in densities great enough to form a living barrier to the foes attacks.|Opponents turn|Shooting phase|Flyblown Host|980.0|"WHEN: Your opponents Shooting phase, just after an enemy unit has selected its targets.TARGET: One Death Guard Infantry unit from your army that is within 6"" of one or more friendly Myphitic Blight-hauler units and that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, each time an attack targets your unit, if the Strength characteristic of that attack is greater than the Toughness characteristic of this unit, subtract 1 from the Wound roll."|
DG|VERMIN CLOUD|9730003|Flyblown Host  Battle Tactic Stratagem|1.0|The storm of insectile contagion sweeps forward, dragging the Death Guard in its wake. None will escape the Plague Gods embrace.|Either players turn|Fight phase|Flyblown Host|980.0|"WHEN: Fight phase.TARGET: One Death Guard Infantry unit from your army that has not been selected to fight this phase.EFFECT: Until the end of the phase, each time a model in this unit makes a Pile-in or Consolidation move, it can move up to 6"" instead of up to 3""."|
DG|DRONING HORROR|9730005|Flyblown Host  Battle Tactic Stratagem|1.0|Clouds of droning daemon flies sweep across the battlefield to envelop the enemies of the Death Guard. As their victims claw and scratch at the seething swarms, Mortarions sons pick off their targets at leisure.|Your turn|Shooting phase|Flyblown Host|980.0|WHEN: Your Shooting phase.TARGET: One Death Guard Infantry unit from your army that has not been selected to shoot this phase.EFFECT: Until the end of the phase, each time a model in your unit makes a ranged attack, re-roll a Hit roll of 1. If that attack targets a unit within half range, you can re-roll the Hit roll instead.|
DG|ENERVATING ONSLAUGHT|9730006|Flyblown Host  Strategic Ploy Stratagem|1.0|Swathed in a buzzing cloak of pathogenic decay, Nurgles chosen crash into the foe, disease dealing death as surely as fist, maul and blade.|Your turn|Charge phase|Flyblown Host|980.0|WHEN: Your Charge phase, just after a DEATH GUARD INFANTRY unit from your army makes a Charge move.TARGET: That Death Guard Infantry unit.EFFECT: Select one enemy unit within Engagement Range of your unit (excluding MONSTERS and VEHICLES). Roll one D6 for each model in your unit that is within Engagement Range of that unit, adding 1 to the result if that model is not a Cultist or Poxwalker model: for each 5+, the selected enemy unit suffers 1 mortal wound (to a maximum of 6 mortal wounds).|
DG|EYE OF THE SWARM|9730004|Flyblown Host  Strategic Ploy Stratagem|1.0|The vermin swarms intensify as the Death Guard close in upon the enemy. As their foes clutch and tear their crawling skin, pitiless Plague Marines unleash volleys of pointblank fire into their tormented foes.|Your turn|Shooting phase|Flyblown Host|980.0|WHEN: Your Shooting phase.TARGET: One Death Guard Infantry unit from your army that has not been selected to shoot this phase.EFFECT: Until the end of the phase, ranged weapons equipped by models in your unit (excluding Blast weapons) have the [PISTOL] ability.|
DG|NAUSEATING PAROXYSMS|9730002|Flyblown Host  Strategic Ploy Stratagem|1.0|The contagion borne by the Death Guard and their attendant swarms of winged vermin triggers bouts of sickness and convulsion in those they encounter.|Either players turn|Fight phase|Flyblown Host|980.0|WHEN: Start of the Fight phase.TARGET: One Death Guard Infantry unit from your army that is within Engagement Range of one or more enemy units.EFFECT: Select one enemy unit within Engagement Range of your unit. That unit must take a Battle-shock test, subtracting 1 from the result.|
DG|DRAWN TO DESPAIR|10128004|Mortarions Hammer  Battle Tactic Stratagem|1.0|Those who languish in misery or cower in terror make themselves easy targets for the Death Guard.|Your turn|Shooting phase|Mortarions Hammer|1050.0|WHEN: Your Shooting phase.TARGET: One Death Guard unit from your army that has not been selected to shoot this phase.EFFECT: Until the end of the phase, each time a model in your unit makes an attack that targets a visible enemy unit (excluding AIRCRAFT) within your opponents deployment zone, you can re-roll the Hit roll.|
DG|RELENTLESS GRIND|10128003|Mortarions Hammer  Strategic Ploy Stratagem|1.0|When the armoured vehicles of the Death Guard advance, they plough through - or straight over- anything that stands in their way.|Your turn|Movement or Charge phase|Mortarions Hammer|1050.0|WHEN: Your Movement phase or your Charge phase.TARGET: One Death Guard Vehicle unit from your army that has not been selected to move or charge this phase.EFFECT: Until the end of the phase, each time your unit makes a Normal, Advance or Charge move, it can move horizontally through terrain features.|
DG|FONT OF FILTH|10128005|Mortarions Hammer  Strategic Ploy Stratagem|1.0|As though afflicted with some awful vomiting sickness, this vehicle's weapons retch an endless stream of fire at the enemy, heaving themselves empty even as it storms into the enemy lines.|Your turn|Shooting phase|Mortarions Hammer|1050.0|WHEN: Your Shooting phase.TARGET: One Death Guard Vehicle unit from your army that has not been selected to shoot this phase.EFFECT: Until the end of the phase, ranged weapons equipped by models in your unit have the [ASSAULT] ability.|
DG|EYESTINGER STORM|10128006|Mortarions Hammer  Strategic Ploy Stratagem|1.0|Swarms of these revolting insects burrow hives into the hulls of Death Guard vehicles. Drawn to sickened prey, they boil forth in buzzing masses and descend on the foe, spreading panic and horror.|Opponents turn|Command phase|Mortarions Hammer|1050.0|WHEN: Your opponents Command phase.TARGET: One Death Guard Vehicle unit from your army.EFFECT: Select one objective marker visible to one or more models in your unit. Each Afflicted enemy unit within range of that objective marker must take a Battle-shock test. Enemy units affected by this Stratagem do not need to take any other Battle-shock tests in the same phase.|
DG|STINKING MIRE|10128007|Mortarions Hammer  Strategic Ploy Stratagem|1.0|Attempting to counterattack Death Guard can leave foes floundering amidst bubbling filth.|Opponents turn|Charge phase|Mortarions Hammer|1050.0|WHEN: Start of your opponents Charge phase.TARGET: One Death Guard Vehicle unit from your army.EFFECT: Until the end of the phase, each time an enemy unit selects your unit as the target of a charge, subtract 2 from the Charge roll (this is not cumulative with any other negative modifiers to that Charge roll).|
DG|BLIGHTED LAND|10128002|Mortarions Hammer  Strategic Ploy Stratagem|2.0|Firing diseased submunitions or belching swarms of daemonic parasites from its hull, this war engine befouls the battlefield as it advances.|Your turn|Movement phase|Mortarions Hammer|1050.0|"WHEN: End of your Movement phase.TARGET: One Death Guard Vehicle unit from your army.EFFECT: Select one terrain feature within 24"" of and visible to your unit. Until the start of your next turn, enemy units are Afflicted while they are within 3"" of that terrain feature."|
